,videoId,text,likeCount,published
13,oHLCAyjxywA,1133억을 현실돈으로 치면 230만원이 넘네요 최저시급보다 더 높네요,1,2026-08-11 05:09:42+00:00
0,oHLCAyjxywA,굳굳 1빠 잘보고있습니당,0,2026-08-11 05:06:59+00:00
229,j__MUJTquJw,1:59,0,2026-08-11 02:59:41+00:00
422,f3DLA1EU8vw,10:24,0,2026-08-11 02:24:38+00:00
51,6nCTgra84_8,노래부르는건 굳이 안넣어도되는데... 다른 정보유튜버로 갈아타야겠다,0,2026-08-11 02:05:15+00:00
3315,Q-b20FJZ0jQ,250렙 비약 얘기해줬어야지..,0,2026-08-10 16:40:15+00:00
64,9mbc6ESMMvo,카오스 1-1을 진입하니 방향이 잡혀서 울티마스쿼드를 더 즐길수가 있게 되었네요. 영상이 도움이 됩니다.,0,2026-08-10 10:53:14+00:00
56,6nCTgra84_8,벨로나 장패드 굿즈 쿠션 존버중.,0,2026-08-10 10:34:51+00:00
102,9mbc6ESMMvo,스쿼드 계산기 사이트 이제 카오스 1-2 이후로 입력이 안되던데 저만 그런가요,0,2026-08-10 10:28:29+00:00
558,xLPWWv_-gwI,미쵸땅 이거 보고 바로 깸,0,2026-08-10 08:11:59+00:00
21,6nCTgra84_8,이번 달 라방도 반응 궁금한 메숭이들은 개추~,2,2026-08-10 06:20:39+00:00
25,6nCTgra84_8,오홍 여름아부탁해가아니라 잔테제군요,0,2026-08-10 06:02:01+00:00
1088,GeniNYE0V5M,오 개꿀,1,2026-08-09 23:44:00+00:00
36,6nCTgra84_8,초창기 카링급이라는... 네....,0,2026-08-09 23:32:38+00:00
29,6nCTgra84_8,이번 업데이트때 결정석 너프도 같이 올것같은데,0,2026-08-09 23:27:12+00:00
20,6nCTgra84_8,오늘은 앞쪽이 피아노 브금 머야!!,0,2026-08-09 22:57:10+00:00
32,6nCTgra84_8,"뭣 이지카링도 못깼는데 그이상이라고?
허",1,2026-08-09 22:52:10+00:00
30,6nCTgra84_8,생각해보니 거공노작값 유지잘될듯 벨로나 가면 더스크빼야하는데 예전 하데미안 빠지고 마깃안 가격 급등한것마냥 거공은 원래비싸니 오르진않겠지만 지금보다 떨어지긴힘든구조가 되겠네,0,2026-08-09 21:07:39+00:00
35,6nCTgra84_8,모멘텀 패스 2차 있지않나,0,2026-08-09 17:44:19+00:00
38,6nCTgra84_8,이제 카엔슬을 놓아줘야겠다 잘가라,0,2026-08-09 17:20:24+00:00
58,6nCTgra84_8,"확실한건 메이플에 꼴잘알 디자이너가 있다는점임
신규로 나오는거 다 꼴잘알임",2,2026-08-09 12:23:38+00:00
40,6nCTgra84_8,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네..,0,2026-08-09 10:19:59+00:00
28,6nCTgra84_8,광기의 레프사도 벨로나ㄷㄷㄷ,0,2026-08-09 10:14:05+00:00
55,6nCTgra84_8,"글러트니라고 대충 애니나 게임 좋아하는 사람은 느낌올거임

양날도끼에 입모양, 피 장신구를 봤을때
롤 브라이어가 떠오름
피흡이나 체력 억제 등 본인 회복과 유저의 HP에 관여가 있을거라 생각함 (가엔슬이 있어서 후자가 좀더 신박함)

그리고 머리카락은 흑백이라 모드가 있을거같지만 그냥 컨셉인거같고 도끼가 불타는게 있는데 이게 옛날 딜중지(공격반사)타이밍이 생긴거라고 봄
보통 공격반사는 발록이나 핑크빈,아카이럼, 힐라가 나름 이름 날리던 보스일 시절 머리위에 공격반사 표시 뜨는건데 개인적으로 이런게 부족해졌나? 싶음
본인이 메린이라 그란디스상위보스 잘 몰라서 그러는데 공격하면 안된다라는 매커니즘은 루타비스 삐에로가 마지막인것같음

그래서 결론 : HP본인 혹은 유저관여랑 공격중지 정도 예상",0,2026-08-09 08:19:22+00:00
22,6nCTgra84_8,벨로나 지리네 ㄷㄷ,1,2026-08-09 07:52:00+00:00
53,6nCTgra84_8,이지는 조각 안주고 노말부터 장신망 조각줄듯,2,2026-08-09 07:45:12+00:00
1279,9saj1Kg7S1I,투력 4200 챨섭 미하일입니다. 하드 루시드 타임아웃으로 끝나서 맨탈 나갔슴다.. ㅜㅜ,1,2026-08-09 07:03:02+00:00
23,6nCTgra84_8,벨로나 기대된다,0,2026-08-09 06:46:11+00:00
49,6nCTgra84_8,"나한테는 이세계 이야기..
벨로나 생긴게 
어떤 애니에서 등장하는
누군가와 꼭 닮았는데 그게 누군지...;;
어두컴컴한 벽장에 틀어박혀서
외부와 단절한체 조용히 콩나물이나
재배하고 있을듯하게 생겼는데...
아!! 누구더라!!!!!",1,2026-08-09 06:38:39+00:00
24,6nCTgra84_8,마깃안 대체품도 풀리는데 확률좀 높여다오,4,2026-08-09 06:23:44+00:00
54,6nCTgra84_8,"장신망견 주는거면 좋겠다 
장신망견 안 샀는데",0,2026-08-09 05:34:40+00:00
47,6nCTgra84_8,마깃안 대체해봤자 지금 마깃안처럼 공급이 어느정도 풀리지않은 이상 마깃안이 가격 떨어질일은 없지,0,2026-08-09 05:31:31+00:00
47,1ArZ9wfeyqA,200렙 마지막 단계에서 문이 10분째 안열리는데 버그인가요 재접도 해봤는데..,1,2026-08-09 04:43:20+00:00
31,6nCTgra84_8,차라 차 차라 차차 🤮,0,2026-08-09 04:32:25+00:00
