title,author,datetime,content,url
미트라 있는데 흙칠흑 하나 박아서 2칠흑 박는거 효율,,2026-06-30 21:14,"챌섭 미트라 쓰고있는데 2셋옵이 보공이길래
칠흑중에 싼편인 루컨마 17성 카유잠 발라서 셋옵 받을겸
직작하는거 효율 괜찮나요? 이번챌섭 헥환 4.8정도까지
올리려고 합니다",https://www.inven.co.kr/board/maple/2300/358548
한 계정으로 2개서버 키울떄 장단점알려주세요,,2026-06-30 21:11,장단점 많이 알려주시면 감사합니다.,https://www.inven.co.kr/board/maple/2300/358547
mvp실버인데 오늘 안쓰면 초기화되나요?,,2026-06-30 21:06,"mvp골드까지 이정도 남았는데
이거 오늘 안올리면 내일 다시 실버 처음부터 다시올려야됨?",https://www.inven.co.kr/board/maple/2300/358546
안녕하세요 복귀유저 챌섭 챌린지 질문드립니다,조태조태,2026-06-30 20:58,우선 261 레테 키우고있고 285 찍고 챌린지찍으려고하는데 찍으려면 패스가 필수라는데 문제는 제가 본캐가 270이라 본캐에 버닝비욘드를 했는데 이러면 패스 사도 챌린지 찍기힘든가요? 챌린지찍어야 야누스솔20렙 쿠폰이 생긴다고해서요 ㅠㅠ,https://www.inven.co.kr/board/maple/2300/358545
메포는 보통 어디에 쓰나용 ?,,2026-06-30 20:57,"와이프 이름이 올라와서 살려고
50만 캐시충전해서 메포로 바꿧는데..
55만까지 올라가꼬 ㅠ_ ㅠ 후다닥 더 충전하러갔더니 끝낫네여
메포만 50만 덩그러니 남았는데 보통 뭘하면 좋을까여 ㅋㅋ  ㅠ",https://www.inven.co.kr/board/maple/2300/358544
챌섭 템 업글 부위 추천받아요!,Fifa계정삼,2026-06-30 20:27,"목표는 챌린저이구요 얘가 본캐여서 챌섭 끝나고도 6만까지는 키울 생각입니다.
지금 상황에서 100억이 있다면 17성 21퍼 찐도미 / 트왈마 -> 17성 21% 루컨마 교체 정도만 해도 괜찮으려나요?
찾아보니까
크주주 에테장갑,
컨티3 -> 4렙, 21성 21% 마이링 같은 선택지도 있더라구요. 어떤게 최선일지ㅜㅜ",https://www.inven.co.kr/board/maple/2300/358543
전시즌 유입 뉴비 질문드립니다,돼지색히2,2026-06-30 20:18,제가 앞으로도 쭉 메이플을 길게 할 생각으로 자석펫도 5마리 구비해놨습니다. 돈을 좀 쓰려고 하는데 미트레 에공삼 vs 에테 22성 크크주 장갑 사려고 합니다 크크주말고 크크잡 22성 사고 나중에 크크주 깡통 사서 잠재전승 할 생각도 있어요 엄청 길게 볼거라서 준 종결템 하나는 가져가고싶습니다 도움주세요,https://www.inven.co.kr/board/maple/2300/358542
챌섭 유입 메린이 메소사용후보 골라주십셔,겅달,2026-06-30 20:12,"챌린저 목표입니당 현재 150억 메소있고
직업 윈드브레이커에 여명4셋 챌섭재화로 직작했습니다
아획 1줄 이벤링 3개에 드메올 하프,미카엘라있습니다
매일 5소재정도 사냥하는거같고
1.월초에 자석펫 싸질수도있다해서 자석펫 구매
2.에테 장갑 크주주? 나중에 비싸진다해서 지금사기
3.윈브 쿨뚝 사기..?
어떤게 괜찮을까영",https://www.inven.co.kr/board/maple/2300/358541
투력과 스공 중에 뭘 중점적으로 봐야 하나요?,Hjwoo,2026-06-30 20:11,"저랑은 다른 직업인데 투력이 저보다 몇백만 낮은데 스공은 오히려 몇백만 높은 사람들이 꽤 보이던데
제가 육성에 무언가 문제가 있는 거 아닌가 해서요
그리고 스공이랑 투력 중에 뭘 중점적으로 보아야 하나요?",https://www.inven.co.kr/board/maple/2300/358540
챌까지 생각중인데 블빈마 파풀마 어느게 나음?,만팔,2026-06-30 20:08,20 블빈마로 챌가능함? 아님 21이상 가야하나?,https://www.inven.co.kr/board/maple/2300/358538
하루 사냥 최대 4~5시간이 끝임?,Funnn,2026-06-30 19:08,뭐 일일 메소 제한이 있다는데 그럼 4~5시간 사냥하면 그뒤로는 사냥하면 안되는거임?,https://www.inven.co.kr/board/maple/2300/358537
