title,category,views,question_intent
찐뉴비좀 도와줘!!(렙이 안올라!!),기타,520,문제 해결
285 찍으면 어떤 링크부터 3레벨 찍어줘야 하나요??,기타,1051,우선순위
4여명 5칠흑으로 7~8만 될까요?,아이템,3089,우선순위
지난주에 챌섭 시작한 뉴비인데 제네시스 패스 사도 되나요?,아이템,611,가능·적정성
뉴비 템셋팅좀 도와주소.... 220억 있는데,아이템,1190,우선순위
진짜 찐 뉴비 템세팅,아이템,855,우선순위
뉴비 칠흑 질문있어요,아이템,401,우선순위
진짜 초보 메린이 질문있습니다,기타,415,선택·추천
뉴비가 모험미션 질문드리겠습니다!,퀘스트,319,가능·적정성
본캐를 올릴가요 버린 부캐를 살릴까요,아이템,510,선택·추천
안녕하세요 선생님들 템 진로 고견좀 여쭙습니다,아이템,349,선택·추천
뉴비 보조무기 질문,아이템,353,기타 질문
뉴비 칠흑셋 순서 질문있습니다!,아이템,638,우선순위
궁금해서 그러는데 유챔나온게 왜 다들 별로라는거야?,기타,677,문제 해결
펜던트 토드 질문있습니다..,기타,313,가능·적정성
스펙업 질문!,아이템,360,가능·적정성
복귀유저 템세팅 질문드립니다.,아이템,308,가격·시세
오리진가속,기타,541,기타 질문
저도 유튜브보면서 재획하고싶은데,기타,1076,기타 질문
안녕하세요 이번챌린져로 유입된 유저입니다,기타,406,기타 질문
이지 대적자가 안잡혀서 다음 템세팅 조언좀요..,아이템,469,가능·적정성
제네 플러스 코인 뭐돌릴까요?,아이템,369,선택·추천
복귀 유저인게 템관련 문의여,아이템,411,기타 질문
성장 방향 조언 부탁드려요,기타,316,가격·시세
뉴비 검마까지 방향성 조언좀....,직업,569,우선순위
에디 레전천장 사용처 추천부탁드려요 + 도전자 대체셋 질문,아이템,557,선택·추천
챌섭 3만점 찍는데 얼마나걸려요??,직업,665,가격·시세
챌섭 유입 스펙업 질문있습니다.,아이템,492,우선순위
울티마 보급일지 메포로 뚫는거 어떻게생각하는지요,아이템,705,방법·공략
[질문] 복귀 유저 아버 이후 에테르넬 17성 풀셋 질문,기타,718,우선순위
18살 본섭에서 길드가입이 현실적으로 가능할지가 궁금합니다.,기타,1054,가능·적정성
첼섭뉴비 2칠흑 맞추고싶은데 고근갈까요?,아이템,1047,선택·추천
메이플 보스 파티 궁금한점,몬스터,428,기타 질문
복귀유저 아델 보조 가격 질문,아이템,507,가격·시세
제로<>렌 직변 해보신분 궁금합니다.,직업,509,기타 질문
챌섭 뉴비 앞으로 진로 설정 부탁드립니다,아이템,450,우선순위
챌섭 종료후 리프 고민,기타,389,기타 질문
본섭 유니온 질문있습니다,기타,409,가능·적정성
메짱이 선생님들 아버 이후에 질문있습니다. 17에테 VS 18아케인(+27여명),아이템,1246,선택·추천
본섭에 유니온 만들려는데 고민상담좀 해주십쇼..,기타,358,우선순위
아델 보조 윗잠 이렇게 떴는데 얼마정도 할까요,시세,378,가격·시세
루나 크리스탈 키 평소 시세가 10억 쯤 될까요?,시세,534,가격·시세
형님들 드메템 vs 보스용장비 뭐 먼저맞추는게좋을까요?,아이템,567,선택·추천
챌섭에서 테라버닝 주는게 최대 4개맞죠?,기타,836,기타 질문
메린이 방향성이 잘못된걸까요? 현실조언 부탁드립니다,기타,669,우선순위
22성 에테 뚝배기 공6리턴 완작 질문드립니다,아이템,516,선택·추천
이번 챌섭 유입 메린이 제네시스 무기 잠재능력 질문 있습니다,아이템,394,우선순위
mvp블랙 경뿌,아이템,505,문제 해결
본섭에서 키웠던뉴비인데,기타,324,가격·시세
"메린이 레잠 2개, 에유잠 1개 사용처 질문",아이템,423,기타 질문
리프 질문있습니다,기타,321,가능·적정성
레테유입 이제뭐함?,기타,589,기타 질문
첼린저스 서버 제네무기 잠재 질문,아이템,334,가능·적정성
뉴비 템 순서 질문드립니다,아이템,329,우선순위
렌 제네무기 공공공 vs 보공공,아이템,711,선택·추천
챌섭 유입 284 아란 100억 템셋팅 질문,아이템,636,가능·적정성
메린이 하드 메이린까지 진로 상담 부탁드립니다.,기타,434,우선순위
챌린저스 서버 저번주에 알아서 이제 시작하는데 제네시스 무기 해방 될까요??ㅜㅜ,기타,450,가능·적정성
햄들 스펙업 조언좀 부탁드림다...,아이템,334,선택·추천
메린이 챌섭 미라클 타임 문의,아이템,411,선택·추천
챌섭 복귀 유전데 질문좀 받아주세요,아이템,303,우선순위
챌섭 유입 질문 한개 해도 되겠습니까,아이템,327,문제 해결
4만 메린이 템세팅 질문 드립니다,아이템,356,기타 질문
데브펜 18성 쌍레,아이템,380,가격·시세
메린이 템셋 조언 부탁드립니다.,아이템,332,가격·시세
챌섭 이동 질문,기타,305,가격·시세
"뉴비 챌섭이후 본섭 준비 질문,평가해주세요",아이템,1044,우선순위
뉴비 이번 미라클때 조언좀가능할까요?,아이템,615,우선순위
이번 이벤으로 시작한 늅늅이 장비좀 봐주실수 있을까요?,아이템,389,우선순위
챌섭에서 본캐를 바꾸고 싶어요 ㅠㅠ,기타,703,선택·추천
제로 온갖거 질문,직업,319,우선순위
5차 스킬코어 슬롯 강화 기능 없어졌나요?,기타,337,기타 질문
안녕하세요. 뉴비입니다. 검마 해방에 관해서 질문 드립니다.,퀘스트,407,기타 질문
레테 카루타 템셋팅 질문드립니다 도와주세요,아이템,418,문제 해결
고민있습니다!,아이템,389,기타 질문
미라클 타임.. 엠블 vs 하트,아이템,1319,선택·추천
챌섭 뉴비 방향성 조언 부탁드려요 메짱형님들,아이템,373,우선순위
저 혹시 추천직업이나 서버있나요?,직업,454,선택·추천
챌섭 뉴비 한번만 도와주십쇼 선생님들ㅠ,아이템,527,선택·추천
고수 형님들 미라클 질문 있습니다.,아이템,324,선택·추천
챌섭 뉴비 질문입니다.,기타,296,기타 질문
뉴비 부캐 유니온 질문,기타,317,기타 질문
챌섭 뉴비입니다! 이번에 미라클 타임 때 뭐 할까요??,기타,1628,가격·시세
투력 6600만 메린이 검마 잡고 싶습니다.,기타,625,우선순위
이번 유입 메린이 제네무기 에디 미라클때 돌려야할까요,아이템,563,우선순위
핑크빈 후디는 못얻나요?,아이템,319,기타 질문
메짱 친구들아 뉴비 템 견적 어디까지 됨..?,아이템,473,기타 질문
레테 보조무기 옵션 질문합니다..,아이템,433,가능·적정성
챌섭 유입 뉴비 질문 하나만 드립니다.,아이템,365,우선순위
(제네 해방) 하드 검마 파티격 흔적 획득량,퀘스트,619,기타 질문
복귀 유저 방어구 세팅 질문있습니다,아이템,441,가격·시세
안녕하세요 뉴비 검마 질문드려요,기타,474,가능·적정성
검마 결정석이 없어요,기타,602,기타 질문
챌린저스 서버 캐릭터 육성 질문,아이템,316,가격·시세
유니온 계정 버리고 새로 키우는게 맞을까요 조언 부탁드립니다!,직업,496,기타 질문
뉴비 챌린저스 서버 부캐(?) 질문,기타,406,가능·적정성
4여명 깨고 4흙칠흑 vs 4여명 유지 2흙칠흑,아이템,843,선택·추천
뉴비 익스우 트라이 파티는 어떻게 구해야하나요?,몬스터,359,우선순위
지금 복귀타이밍 너무 늦지 않았나..,기타,450,가능·적정성
형님들 이번 챌섭유입 메린이 제네 윗잠 질문드립니다!,아이템,432,가능·적정성
뉴비 해방무기 및 보조 질문드립니다!!!!!,아이템,412,선택·추천
보조무기 추천,아이템,541,선택·추천
뉴비) 레벨별로 사냥터는 어디 가야 하나요?,기타,483,기타 질문
뉴비입니다 메이플을 시작하고 해방퀘를 진행하는도중인데,기타,420,가격·시세
챌린저스서버 질문드립니다.,기타,377,가격·시세
트왈마 24퍼,아이템,713,기타 질문
챌섭뉴비 챌린저달고싶은데 뭐해야할까요,기타,791,우선순위
제네시스무기 잠재 질문드립니다(찐늅입니다ㅠㅠ),아이템,4022,우선순위
뉴비 내일 이면 제네무기 얻는데 에디셔널 문의,아이템,883,가격·시세
사우나 어디에 쓰는게낫나요?,기타,557,기타 질문
썜들 메린이 챌린저 찍을 수 있게 진로부탁드립니다..,기타,831,우선순위
보조 옵션 질문,아이템,456,기타 질문
복귀를 해볼까 하는데요! 조언 좀 부탁드리겠습니다ㅎㅎ,직업,491,가능·적정성
이번챌섭 유입 렌 하메 120퍼 만들고싶어요,아이템,896,선택·추천
복귀 뉴비 질문...,아이템,392,가능·적정성
챌섭 복귀유저 렌 스펙업 훈수 부탁드립니다.,아이템,599,가격·시세
메이플 파티플 질문,기타,480,가능·적정성
뉴비 환산주스탯 보스 배율,몬스터,651,기타 질문
"메린이 남은 대적자 큐브, 코인 어떻게 쓰는게 좋을까요?",아이템,705,방법·공략
메고수 형님들 뉴비 스펙업 도움,아이템,438,가격·시세
해방무기 추옵 질문있습니다,아이템,414,선택·추천
무기 추옵 질문,아이템,396,선택·추천
챌섭 유입 메린이 다음주 하드메이린 잡게 해주세요,아이템,637,가능·적정성
보조무기 매물을 더 찾고 싶습니다,시세,393,가능·적정성
200억 챌린저 가능한가요 고수분들의견이 궁금합니다,기타,1884,가능·적정성
울티마 스쿼드 코인샵 본섭 실수,기타,1477,가격·시세
챌섭 뉴비 2가지 질문 (대적자+헥사순서),기타,614,우선순위
복귀 메린이 입니다 놀장? 도미도 쓰이나요?,아이템,624,기타 질문
이후 스펙업 질문,기타,370,우선순위
뉴비 질문있습니다,기타,359,가능·적정성
메린이 서버 고민입니다,기타,471,방법·공략
복귀유저 질문드립니다!,기타,453,우선순위
메짱이 선생님들 대적자코인 어디에 써야할지 모르겠습니다,아이템,548,방법·공략
[사전월드리프] 여러 서버로 이동 불가 관련 문구 문제,기타,858,선택·추천
복귀뉴비 두가지 질문드려요,기타,492,우선순위
챌섭 뉴비 보조무기 질문 드려요,아이템,516,기타 질문
뉴비입니다!! 질문있습니다,직업,389,가능·적정성
검마 솔격 문의용,기타,660,가능·적정성
뉴비 질문드립니다,아이템,502,선택·추천
